Month,CRCode,CRName,SDName,latitude,longitude,Max Hashrate,Min Hashrate,Avg Hashrate
201806,AUT,Austria,Vorarlberg,47.27108002,9.643079758,0.000998978,6.36E-05,0.000184949
201806,AUT,Austria,Wien,48.20848846,16.37207985,862.5362664,423.252932,683.2995506
201806,AUS,Australia,New South Wales,-33.86785126,151.2073212,99.39177889,4.820747648,64.98602169
201806,AUS,Australia,New South Wales,-34.42399979,150.8934479,27.46009929,15.56460516,19.64041332
201806,AUS,Australia,New South Wales,-35.35493088,149.2319946,49.43404279,4.240042618,45.52791461
201806,AUS,Australia,New South Wales,-31.0904808,150.9290466,13.87990901,0.195468734,12.2252336
201806,AUS,Australia,New South Wales,-30.38332939,153.0666656,22.41374815,5.097661688,15.14772255
201806,AUS,Australia,New South Wales,-35.12577057,147.3537445,1.91E-05,1.91E-05,1.91E-05
201806,AUS,Australia,Northern Territory,-23.69747925,133.8836212,6.48874751,6.088443832,6.337822571
201806,AUS,Australia,Queensland,-27.46793938,153.0280914,103.3442687,59.45150997,85.4750618
201806,AUS,Australia,Queensland,-27.48855019,153.0365448,69.24178294,68.09499485,68.60127287
201806,AUS,Australia,Queensland,-24.41666985,150.5,41.58298892,40.53598088,41.03089685
201806,AUS,Australia,Queensland,-28.03333092,152.9333344,4.119503565,3.100215564,3.967426872
201806,AUS,Australia,Queensland,-28.00028992,153.4308777,9.754297044,0.663779242,3.504727249
201806,AUS,Australia,Tasmania,-41.88341904,145.3362274,13.07034267,12.38457319,12.65736067
201806,AUS,Australia,Victoria,-37.81819153,145.0017548,0.907300706,0.842990729,0.892180194
201806,AUS,Australia,Victoria,-37.81399918,144.9633179,99.56049156,20.21833903,83.32478175
201806,AUS,Australia,Victoria,-38.26667023,145.8666687,25.31075767,6.209390111,18.15019288
201806,AUS,Australia,Victoria,-35.1853714,143.3508148,36.71717274,35.51992675,36.2513022
201806,AUS,Australia,Victoria,-37.06708908,144.2168427,40.86599662,39.58811977,40.32698141
201806,AUS,Australia,Victoria,-34.18550873,142.1625061,27.71909536,13.48815709,23.97114528
201806,AUS,Australia,Victoria,-36.38047028,145.3986664,9.242413298,3.621058294,8.009494259
201806,AUS,Australia,Victoria,-38.33084869,144.3263855,0.240772685,0.001628906,0.079429534
201806,AUS,Australia,Western Australia,-31.95223999,115.8613968,28.14423986,20.85310338,27.32290637
201806,AZE,Azerbaijan,Baki,40.37767029,49.89200974,1114.427928,723.0453111,983.8639736
201806,BIH,Bosnia and Herzegovina,Brcko distrikt,44.86989975,18.81010056,52.80343508,3.543685254,21.8554776
201806,BIH,Bosnia and Herzegovina,Federacija Bosne i Hercegovine,43.82693863,17.00778008,6950.354306,4534.960448,6527.655436
201806,BIH,Bosnia and Herzegovina,Federacija Bosne i Hercegovine,43.71805954,17.22666931,231.6768734,150.5964426,216.0399075
201806,BIH,Bosnia and Herzegovina,Federacija Bosne i Hercegovine,43.3833313,17.59277916,55.2981048,37.00711803,51.12569912
201806,BIH,Bosnia and Herzegovina,Federacija Bosne i Hercegovine,44.05722046,17.45083046,55.31439386,34.31535068,51.27009146
201806,BIH,Bosnia and Herzegovina,Federacija Bosne i Hercegovine,44.95999908,16.17917061,27.80054067,1.357693247,12.32200839
201806,BIH,Bosnia and Herzegovina,Federacija Bosne i Hercegovine,43.34333038,17.80805969,55.71266141,39.67770961,52.25452766
201806,BIH,Bosnia and Herzegovina,Federacija Bosne i Hercegovine,44.22666931,17.67056084,27.67185709,0.000814453,17.66579224
201806,BIH,Bosnia and Herzegovina,Federacija Bosne i Hercegovine,44.54278183,18.66943932,14.04117071,11.04072565,13.60378227
201806,BIH,Bosnia and Herzegovina,Federacija Bosne i Hercegovine,43.84864044,18.35643959,13.69258481,6.442323686,12.64723431
201806,BIH,Bosnia and Herzegovina,Federacija Bosne i Hercegovine,45.17417145,15.87360954,10.68806748,10.68806748,10.68806748
201806,BIH,Bosnia and Herzegovina,Federacija Bosne i Hercegovine,44.04582977,16.84860992,14.00370587,2.911669681,12.15379792
201806,BIH,Bosnia and Herzegovina,Federacija Bosne i Hercegovine,43.23749924,17.48389053,12.19317673,1.677773299,8.315610966
201806,BIH,Bosnia and Herzegovina,Federacija Bosne i Hercegovine,44.54056168,18.48110962,1.867744474,0.000814453,0.547018347
201806,BIH,Bosnia and Herzegovina,Federacija Bosne i Hercegovine,44.06499863,17.93861008,0.043980465,0.043980465,0.043980465
201806,BIH,Bosnia and Herzegovina,Federacija Bosne i Hercegovine,44.67306137,18.01277924,0.119724599,0.000814453,0.011402343
201806,BIH,Bosnia and Herzegovina,Republika Srpska,44.72277832,17.32777977,8.653512834,0.210943342,3.219524453
201806,BIH,Bosnia and Herzegovina,Republika Srpska,44.98139191,16.71306038,21.19614082,12.85206925,19.31146251
201806,BIH,Bosnia and Herzegovina,Republika Srpska,44.97721863,17.91028023,27.7427145,11.32659867,23.79077108
201806,BIH,Bosnia and Herzegovina,Republika Srpska,42.95082855,18.0886097,11.0138487,3.151933333,9.47558065
201806,BIH,Bosnia and Herzegovina,Republika Srpska,44.66527939,19.24777985,11.92196386,2.353769336,9.428719435
201806,BIH,Bosnia and Herzegovina,Republika Srpska,44.90805817,17.30083084,14.54857497,0.000311783,2.412473096
201806,BIH,Bosnia and Herzegovina,Republika Srpska,44.77582932,17.18556023,0.044794918,0.000814453,0.020849998
201806,BEL,Belgium,-,50.85044861,4.348780155,396.4092178,375.9952064,392.0206843
201806,BEL,Belgium,Antwerpen,51.21989059,4.403460026,231.0407856,90.072807,214.9994999
201806,BEL,Belgium,Antwerpen,51.02574158,4.477620125,137.4585003,133.421002,136.3811978
201806,BEL,Belgium,Brussels Hoofdstedelijk Gewest,50.85044861,4.348780155,246.1409998,226.6774901,235.872742
201806,BEL,Belgium,Hainaut,50.41136169,4.444479942,0.054902408,0.009926147,0.033024799
201806,BEL,Belgium,Liege,50.63373184,5.567490101,63.59738146,23.82845311,45.41180761
201806,BEL,Belgium,Luxembourg,49.68333054,5.816669941,84.945825,66.14804482,78.41372314
201806,BEL,Belgium,Namur,50.56148911,4.698890209,13.94506525,13.25766687,13.62792402
201806,BEL,Belgium,Oost-Vlaanderen,51.04999924,3.716670036,271.4205537,76.9544116,186.8214346
201806,BEL,Belgium,Oost-Vlaanderen,51.16508865,4.143700123,73.34231229,41.405979,71.28744723
201806,BEL,Belgium,Vlaams-Brabant,50.88365173,4.472980022,0.074115228,0.014660155,0.034930987
201806,BEL,Belgium,Vlaams-Brabant,50.92813873,4.42937994,0,0,0
201806,BEL,Belgium,West-Vlaanderen,51.22338867,2.911849976,82.95612255,74.88852597,81.75669259
201806,BEL,Belgium,West-Vlaanderen,50.82802963,3.264869928,13.83185628,7.939288406,13.38022267
201806,BGR,Bulgaria,Burgas,42.50606155,27.46780968,27.79728286,20.61462134,25.53638492
201806,BGR,Bulgaria,Burgas,42.23424149,27.77490044,41.28951221,11.4267764,39.34655707
201806,BGR,Bulgaria,Burgas,42.70000076,27.25,13.78217464,2.710499776,9.259633162
201806,BGR,Bulgaria,Gabrovo,43.02582932,25.11360931,5.400587322,0.027691404,4.601558471
201806,BGR,Bulgaria,Gabrovo,42.90000153,25.31666946,27.49593523,4.401304323,18.5717993
201806,BGR,Bulgaria,Haskovo,41.94028091,25.56944084,41.07123879,0.000814453,13.70864117
201806,BGR,Bulgaria,Haskovo,41.91667175,25.35000038,13.57530356,3.606398139,12.87663315
201806,BGR,Bulgaria,Kyustendil,42.28388977,22.69111061,14.05745977,0.016289061,12.63603303
201806,BGR,Bulgaria,Lovech,42.91667175,24.26667023,28.10351721,8.41737235,26.34452597
201806,BGR,Bulgaria,Pazardzhik,42.20000076,24.33333015,0.00967163,0.00967163,0.00967163
201806,BGR,Bulgaria,Pernik,42.59999847,23.03333092,27.78425161,11.84174978,22.6057108
201806,BGR,Bulgaria,Pleven,43.65000153,25.11667061,15.32230537,2.23485919,12.71306926
201806,BGR,Bulgaria,Plovdiv,42.15000153,24.75,39.50911783,25.46143149,36.70853689
201806,BGR,Bulgaria,Ruse,43.85639191,25.97083092,11.81608496,4.868800378,11.07811292
201806,BGR,Bulgaria,Sofia,42.90000153,23.78333092,14.1437918,7.943360671,13.41503278
201806,BGR,Bulgaria,Sofia,42.66667175,23.60000038,9.180514865,0.763956968,7.218701063
201806,BGR,Bulgaria,Sofia (stolitsa),42.69750977,23.32415009,1812.533414,1126.702299,1555.473076
201806,BGR,Bulgaria,Stara Zagora,42.29999924,25.93333054,0.000127258,5.09E-05,8.91E-05
201806,BGR,Bulgaria,Varna,43.21667099,27.91666985,347.2086685,17.60318116,171.5544306
201806,BGR,Bulgaria,Veliko Tarnovo,43.08124161,25.62903976,139.1989865,80.62107927,112.7749884
201806,BGR,Bulgaria,Vidin,43.99000168,22.87249947,70.91605663,0.080630853,49.44357383
201806,BGR,Bulgaria,Vidin,44.15166855,22.64249992,13.97927228,12.82274894,13.6741594
201806,BHR,Bahrain,Al Janubiyah,26.2166996,50.58330154,3.418666709,1.272379289,2.665849084
201806,BHR,Bahrain,Al Janubiyah,26.23329926,50.5,1.167314845,0.373121307,1.042354839
201806,BHR,Bahrain,Ash Shamaliyah,26.17361069,50.54777908,1.183705713,0.38360739,1.092682196
201806,BRN,Brunei Darussalam,Belait,4.583330154,114.1833267,1267.346784,279.9794373,331.3037796
201806,BRN,Brunei Darussalam,Brunei-Muara,4.940289974,114.9480591,10318.32178,9316.670066,9605.146398
201806,BOL,Bolivia,La Paz,-16.5,-68.15000153,27.27114618,4.723013281,19.5280883
201806,BOL,Bolivia,Santa Cruz,-17.79999924,-63.16667175,13.80172151,6.629647889,11.95359413
201806,BRA,Brazil,Amazonas,-3.101939917,-60.02500153,14.15682305,3.306679414,12.38272501
201806,BRA,Brazil,Bahia,-13.26805973,-39.66278076,14.27899101,0.021175779,6.956132596
201806,BRA,Brazil,Bahia,-13.03028011,-39.60472107,70.08612897,43.58382647,61.63419676
201806,BRA,Brazil,Bahia,-12.97111034,-38.51082993,26.36873219,0.011007842,16.16025233
201806,BRA,Brazil,Ceara,-3.717220068,-38.5430603,0.140085926,0.140085926,0.140085926
201806,BRA,Brazil,Distrito Federal,-15.77972031,-47.92972183,788.077708,274.2529415,694.3203915
201806,BRA,Brazil,Goias,-16.67860985,-49.25389099,258.2356786,216.0870966,244.5473847
201806,BRA,Brazil,Goias,-16.32666969,-48.95278168,54.40057753,40.91404935,52.13594372
201806,BRA,Brazil,Goias,-15.56221962,-49.9486084,24.77820718,2.331779104,14.72563601
201806,BRA,Brazil,Goias,-17.56944084,-52.55110931,23.41308205,21.2433791,22.94119134
201806,BRA,Brazil,Maranhao,-2.529720068,-44.30278015,51.70595959,32.11317142,45.40057261
201806,BRA,Brazil,Mato Grosso do Sul,-20.4477787,-52.8777771,28.0741969,26.93722043,27.45804958
201806,BRA,Brazil,Mato Grosso do Sul,-20.75111008,-51.67832947,51.45841676,13.50974009,15.79024598
201806,BRA,Brazil,Minas Gerais,-19.59333038,-46.94055939,69.59094151,53.95140667,61.17899778
201806,BRA,Brazil,Minas Gerais,-19.61916924,-43.22694016,56.2575305,44.30950415,54.84045939
201806,BRA,Brazil,Minas Gerais,-19.92082977,-43.93777847,46.85360098,6.640000351,23.93638171
201806,BRA,Brazil,Minas Gerais,-18.77499962,-42.93249893,13.95972541,10.53413585,13.55568203
201806,BRA,Brazil,Minas Gerais,-18.91860962,-48.27722168,0.670702093,0.670702093,0.670702093
201806,BRA,Brazil,Minas Gerais,-20.02471924,-48.94055939,0.582333936,0.582333936,0.582333936
201806,BRA,Brazil,Paraiba,-6.872220039,-36.91860962,13.9580965,9.574201112,13.47904539
201806,BRA,Brazil,Parana,-25.54777908,-54.58805847,17102.80492,11992.76745,16343.94254
201806,BRA,Brazil,Parana,-24.79888916,-53.30667114,13.84733089,0.149859363,11.73499937
201806,BRA,Brazil,Parana,-25.34806061,-54.23778153,13.69421371,4.436325805,11.31343168
201806,BRA,Brazil,Parana,-25.42778015,-49.27305985,9.431366407,0.421072231,6.605505173
201806,BRA,Brazil,Rio de Janeiro,-22.90278053,-43.20750046,116.0630221,46.22927181,89.58253256
201806,BRA,Brazil,Rio de Janeiro,-22.46888924,-44.44667053,15.42777704,0.170627916,8.805228683
201806,BRA,Brazil,Rio de Janeiro,-22.85222054,-43.77528,17.66609766,3.050126701,15.1683203
201806,BRA,Brazil,Rio Grande do Norte,-5.795000076,-35.20943832,0.559529251,3.18E-06,0.186511871
201806,BRA,Brazil,Rio Grande do Sul,-27.87083054,-54.48139191,5.550497588,0.044794918,2.143640448
201806,BRA,Brazil,Roraima,2.81972003,-60.6733284,13.47868907,0.017485289,5.238310731
201806,BRA,Brazil,Santa Catarina,-27.34361076,-51.61193848,52.36118707,45.79832434,51.6458835
201806,BRA,Brazil,Santa Catarina,-28.48250008,-48.78083038,13.14038563,0.003257812,6.593649488
201806,BRA,Brazil,Santa Catarina,-26.25028038,-49.3786087,0,0,0
201806,BRA,Brazil,Sao Paulo,-22.90555954,-47.06082916,618.5507039,125.9515003,342.2625504
201806,BRA,Brazil,Sao Paulo,-23.54750061,-46.6361084,166.3308612,108.5071375,142.6232662
201806,BRA,Brazil,Sao Paulo,-21.17749977,-47.81027985,270.9783057,41.38398876,127.9835777
201806,BRA,Brazil,Sao Paulo,-20.58139038,-47.85472107,41.7928442,38.74516086,40.91799605
201806,BRA,Brazil,Sao Paulo,-21.46805954,-49.22082901,27.60853336,26.61851477,27.16395398
201806,BRA,Brazil,Sao Paulo,-21.13777924,-48.97277832,14.18858672,8.92100976,13.10262725
